case,mesh,study,arm,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,meanStrainBand,meanStrainBandHalf
3Ddeformation,hex,uncachedConv3Ddeformation,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.02,,1,0.00305132356254,0.0691252163236,0.339291015789,0.802947160863,2.56057216009,8.22717900663,0.467780660869,0.197794983309,0.262444043281,,,,,,
3Ddeformation,hex,uncachedConv3Ddeformation,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,,1,0.00547398254216,0.182440779144,0.270687226195,0.620631879769,2.18699630804,5.91206976228,0.315810271901,0.442965341065,0.233447851974,,,,,,
3Dshear,poly,uncachedConv3DshearPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,0.0078125,1,2.40802764893e-05,0.000219128206857,3.88152523922,0.0138452276946,2.25399243004,2.63558914039,0.00755149512861,0.827490258169,0.13912246822,,,,,,
3Dshear,poly,uncachedConv3DshearPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0125,0.0125,1,7.6049337362e-05,0.00155342394851,2.83715481447,0.02292856882,1.70164071905,2.61173101016,0.0416211355448,0.779510737617,0.183259923116,,,,,,
3Dshear,poly,uncachedConv3DshearPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.02,0.02,1,0.00095642494233,0.0137209319493,1.86884182733,0.0276412211171,1.51572860831,2.44533295611,0.0837806373955,0.838155343942,0.159098396708,,,,,,
3Dshear,poly,uncachedConv3DshearPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,0.03125,1,0.00162837113064,0.0230515764228,1.1783122766,0.0394128721539,1.41801237704,2.28867064931,0.141916476803,0.821893225793,0.147062218722,,,,,,
3Ddeformation,poly,uncachedConv3DdeformationPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,0.0078125,1,0.000623226165771,0.00856834435299,0.224858833904,2.10973636513,3.02838153114,14.7636858001,0.0131055188234,0.505445546649,0.0655394399241,,,,,,
3Ddeformation,poly,uncachedConv3DdeformationPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0125,0.0125,1,0.00135406839549,0.0147889824135,0.24349922281,1.76828464602,2.58500083752,9.84372171229,0.114600919347,0.363277301666,0.254619882655,,,,,,
3Ddeformation,poly,uncachedConv3DdeformationPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.02,0.02,1,0.00279168236613,0.09685472819,0.225100320228,1.17315822066,2.18023765648,3.18993372499,0.274429147327,0.326629723602,0.0465718927325,,,,,,
3Ddeformation,poly,uncachedConv3DdeformationPoly,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,0.03125,1,0.00467807518912,0.221089049291,0.209439366609,0.764291935996,1.83761088284,4.37963497709,0.546523583556,0.0874355121667,0.322897160703,,,,,,
